"","label","species"
"159",159,5600
"160",160,5600
"161",161,5600
"162",162,5600
"163",163,5600
"164",164,5600
"165",165,5600
"166",166,5600
"167",167,5600
"168",168,5600
"169",169,5600
"170",170,5600
"171",171,5600
"172",172,5600
"173",173,5600
"174",174,5600
"175",175,5600
"176",176,5600
"177",177,5600
"178",178,5600
"179",179,5600
"180",180,5600
"181",181,5600
"182",182,5600
"183",183,5600
"184",184,5600
"185",185,5600
"186",186,5600
"187",187,5600
"188",188,5600
"189",189,5600
"190",190,5600
"191",191,5600
"192",192,5600
"193",193,5600
"194",194,5600
"195",195,5810
"196",196,5810
"197",197,5810
"198",198,5810
"199",199,5810
"200",200,5810
"201",201,5810
"202",202,5810
"203",203,5810
"204",204,5810
"205",205,5810
"206",206,5810
"207",207,5810
"208",208,5810
"209",209,5810
"210",210,5930
"211",211,5930
"212",212,5930
"213",213,5930
"214",214,5930
"215",215,5930
"216",216,5930
"217",217,5930
"218",218,5930
"219",219,5930
"220",220,5930
"221",221,5930
"222",222,5930
"223",223,5930
"224",224,5930
"225",225,5930
"226",226,5930
"227",227,5930
"228",228,5930
"229",229,5930
"230",230,5930
"231",231,5930
"232",232,5930
"233",233,5930
"234",234,6130
"235",235,6130
"236",236,6130
"237",237,6130
"238",238,6130
"239",239,6130
"240",240,6130
"241",241,6130
"242",242,6130
"243",243,6130
"244",244,6130
"245",245,6130
"246",246,6130
"247",247,6130
"248",248,6130
"249",249,6130
"250",250,6130
"251",251,6130
"252",252,6130
"253",253,6130
"254",254,6130
"255",255,6130
"256",256,6130
"257",257,6130
"258",258,6130
"259",259,6140
"260",260,6140
"261",261,6140
"262",262,6140
"263",263,6140
"264",264,6140
"265",265,6140
"266",266,6140
"267",267,6140
"268",268,6190
"269",269,6190
"270",270,6190
"271",271,6190
"272",272,6190
"273",273,6190
"274",274,6190
"275",275,6190
"276",276,6190
"277",277,6190
"278",278,6190
"279",279,6190
"280",280,6190
"281",281,6190
"282",282,6190
"283",283,6190
"284",284,6190
"285",285,6190
"286",286,6190
"287",287,6190
"288",288,6190
"289",289,6190
"290",290,6190
"291",291,6190
"292",292,6190
"293",293,6190
"294",294,6190
"295",295,6190
"296",296,6190
"297",297,6190
"298",298,6190
"299",299,6190
"300",300,6190
"301",301,6190
"302",302,6190
"303",303,6190
"304",304,6190
"305",305,6190
"306",306,6190
"307",307,6190
"308",308,6190
"309",309,6190
"310",310,6190
"311",311,6190
"312",312,6190
"313",313,6190
"314",314,6190
"315",315,6190
"316",316,6190
"317",317,6190
"318",318,6190
"319",319,6190
"320",320,6190
"321",321,6190
"322",322,6190
"323",323,6190
"324",324,6190
"325",325,6190
"326",326,6190
"327",327,6190
"328",328,6190
"329",329,6190
"330",330,6190
"331",331,6190
"332",332,6240
"333",333,6240
"334",334,6240
"335",335,6240
"336",336,6240
"337",337,6240
"338",338,6240
"339",339,6240
"340",340,6520
"341",341,6520
"342",342,6670
"343",343,6710
"344",344,6710
"345",345,6740
"346",346,6740
"347",347,6740
"348",348,6740
"349",349,6740
"350",350,6740
"351",351,6740
"352",352,6740
"353",353,6810
"354",354,6810
"355",355,6810
"356",356,6810
"357",357,6810
"358",358,6810
"359",359,6810
"360",360,6870
"361",361,6882
"362",362,6882
"363",363,6882
"364",364,6882
"365",365,6882
"366",366,6882
"367",367,6882
"368",368,6882
"369",369,6882
"370",370,6882
"371",371,6882
"372",372,6882
"373",373,6882
"374",374,6882
"375",375,6882
"376",376,6882
"377",377,6882
"378",378,6882
"379",379,6882
"380",380,6882
"381",381,6882
"382",382,6882
"383",383,6882
"384",384,6882
"385",385,6882
"386",386,6882
"387",387,7040
"388",388,7040
"389",389,7040
"390",390,7040
"391",391,7040
"392",392,7040
"393",393,7040
"394",394,7040
"395",395,7040
"396",396,7040
"397",397,7040
"398",398,7040
"399",399,7040
"400",400,7040
"401",401,7040
"402",402,7040
"403",403,7040
"404",404,7040
"405",405,7040
"406",406,7040
"407",407,7040
"408",408,7210
"409",409,7210
"410",410,7210
"411",411,7210
"412",412,7210
"413",413,7210
"414",414,7210
"415",415,7210
"416",416,7210
"417",417,7210
"418",418,7210
"419",419,7270
